StartDate;EndDate;Progress;Duration (in seconds);RecordedDate;UserLanguage;Informed consent;T1E_1;T2E_1;T3E_1;T4E_1;T5N_1;T6N_1;T7N_1;T8N_1;F1E_1;F2E_1;F3E_1;F4E_1;F5N_1;F6N_1;F7N_1;F8N_1;T1EE_1;T2EE_1;T3EE_1;T4EE_1;T5NE_1;T6NE_1;T7NE_1;T8NE_1;F1EE_1;F2EE_1;F3EE_1;F4EE_1;F5NE_1;F6NE_1;F7NE_1;F8NE_1;T1N_1;T2N_1;T3N_1;T4N_1;T5E_1;T6E_1;T7E_1;T8E_1;F1N_1;F2N_1;F3N_1;F4N_1;F5E_1;F6E_1;F7E_1;F8E_1;T1NE_1;T2NE_1;T3NE_1;T4NE_1;T5EE_1;T6EE_1;T7EE_1;T8EE_1;F1NE_1;F2NE_1;F3NE_1;F4NE_1;F5EE_1;F6EE_1;F7EE_1;F8EE_1;CRT1_1;CRT1_2;CRT1_3;CRT3_1;CRT3_2;CRT3_3;Educational level;Gender;Gender_4_TEXT;Age_1;Pol. partisanship _1;Series
02/05/2025 08:30;02/05/2025 08:33;100;201;02/05/2025 08:33;EN;1;6;6;3;1;6;4;6;7;1;1;2;6;6;0;1;1;8;6;6;0;5;0;9;0;0;10;3;10;1;0;10;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;50;20;2;8;Emily;5;2;;28;2;A
02/05/2025 08:30;02/05/2025 08:34;100;220;02/05/2025 08:34;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;6;5;3;2;3;6;3;1;0;0;3;0;0;2;5;1;6;2;4;3;4;5;2;2;4;1;2;0;5;2;8;50;20;1;7;June;2;2;;23;2;B
02/05/2025 08:30;02/05/2025 08:35;100;292;02/05/2025 08:35;EN;1;9;5;8;2;8;0;3;9;6;2;8;2;9;0;4;2;2;10;10;1;1;0;1;8;6;10;8;9;7;0;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;10;2;8;Emily;3;2;;54;6;A
02/05/2025 08:31;02/05/2025 08:35;100;198;02/05/2025 08:35;EN;1;8;6;5;1;10;10;5;2;0;0;0;1;0;0;2;7;0;4;6;4;0;0;0;0;0;0;5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;10;39;2;8;June;7;5;;29;3;A
02/05/2025 08:30;02/05/2025 08:35;100;300;02/05/2025 08:35;EN;1;3;4;10;1;5;5;5;7;1;0;1;2;6;0;0;0;7;10;10;10;7;5;7;1;9;4;10;10;1;8;7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;10;39;1;8;Emily;3;1;;52;2;A
02/05/2025 08:31;02/05/2025 08:35;100;278;02/05/2025 08:35;EN;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10;39;2;8;Emily;2;1;;52;4;A
02/05/2025 08:30;02/05/2025 08:35;100;299;02/05/2025 08:35;EN;1;5;5;5;1;0;1;1;5;2;1;5;0;1;0;0;0;5;5;5;5;5;5;3;10;0;5;5;10;5;1;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;50;20;1;7;june;2;2;;63;4;A
02/05/2025 08:31;02/05/2025 08:36;100;314;02/05/2025 08:36;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;1;10;0;0;1;10;7;0;0;0;0;0;0;0;10;10;10;0;0;10;10;10;0;10;0;0;10;0;10;10;8;10;20;2;8;Emily;5;1;;26;5;B
02/05/2025 08:30;02/05/2025 08:36;100;377;02/05/2025 08:36;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;5;5;5;5;5;5;5;5;9;5;5;5;5;5;9;5;5;5;5;5;5;5;5;5;9;9;5;5;9;4;10;39;2;8;Emily;2;1;;27;4;B
02/05/2025 08:30;02/05/2025 08:36;100;376;02/05/2025 08:36;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;8;8;2;5;9;6;7;7;6;9;6;2;4;6;7;0;8;3;0;6;7;0;7;1;7;8;8;1;0;7;6;8;50;20;1;8;Emily;3;2;;57;6;B
